2021-04-19 16:40:41,145 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TAKEALOT:TAKEALOT_UI:0.0.1-SNAPSHOT @ C:\Dibya\Manmohan Workspace\Autoamtion Hybrid\AUTOMATION\TAKEALOT_UI\pom.xml.
2021-04-19 16:40:41,680 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TAKEALOT_UI/src/main/java
2021-04-19 16:40:41,682 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TAKEALOT_UI/src/main/resources
2021-04-19 16:40:41,682 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TAKEALOT_UI/src/test/java
2021-04-19 16:40:41,683 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TAKEALOT_UI/src/test/resources
2021-04-19 16:40:42,854 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:40:42,858 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:40:42,859 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:40:42,860 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:41:44,453 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:41:44,460 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:41:44,462 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:41:44,463 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:42:16,245 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:42:16,247 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:42:16,248 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:42:16,249 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:42:42,070 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:42:42,071 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:42:42,072 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:42:42,073 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:43:09,118 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:43:09,119 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:43:09,120 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:43:09,122 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:43:10,152 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:43:10,153 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:43:10,154 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:43:10,156 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:52:39,541 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:52:39,542 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:52:39,543 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:52:39,545 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:53:04,362 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:53:04,363 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-04-19 16:53:04,365 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-04-19 16:53:04,367 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
